image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
154005.jpg,88.064,88.064,180.22401,88.064,118.784004,139.264,94.20801,167.936,188.41602,169.98401
126230.jpg,87.57895,87.57895,163.60902,87.57895,137.62407,132.81203,87.57895,167.45865,158.797,169.38347
008484.jpg,87.203186,86.69323,176.44623,82.61355,130.03984,139.21913,89.75299,166.75697,177.9761,164.71713
069751.jpg,87.81395,87.81395,169.67442,81.860466,130.97675,123.53488,98.23256,168.18605,172.65117,163.72093
151707.jpg,86.45614,87.57895,186.38597,85.333336,138.10527,152.70175,81.96491,168.42105,187.50877,167.29825
009110.jpg,87.20879,87.20879,177.23077,91.42857,123.78022,144.87912,84.39561,165.97803,174.41759,173.01099
028713.jpg,87.5539,87.5539,154.171,90.40892,122.7658,138.94423,77.0855,169.39777,146.55762,169.39777
127390.jpg,87.652176,89.04348,175.30435,98.78261,118.26087,148.86957,79.30435,168.34782,161.39131,180.86957
035068.jpg,88.35398,88.35398,183.50443,90.61947,142.72566,144.99115,83.823006,169.9115,174.44247,172.17699
048916.jpg,88.43636,88.43636,174.54546,90.76363,139.63635,151.27272,79.12727,167.56363,167.56363,172.21817
034468.jpg,87.18841,87.18841,174.37682,77.44928,135.42029,135.88406,95.53623,167.88406,182.72464,159.53624
050432.jpg,86.88484,88.43636,184.6303,96.19394,127.224236,156.70302,83.781815,170.66666,179.97575,176.87273
069571.jpg,87.77143,87.77143,177.0057,92.159996,144.82286,146.2857,76.06857,166.76572,165.30286,174.08
105469.jpg,87.54978,87.54978,182.85715,90.87446,134.09525,151.82684,84.225105,167.342,178.42424,172.88312
004164.jpg,87.77143,87.77143,173.10477,87.77143,129.21906,141.40953,82.89524,170.66667,175.54286,170.66667
046557.jpg,87.720276,87.720276,179.02098,91.3007,132.47552,143.21678,86.82517,168.27972,171.86014,173.65034
057674.jpg,86.45614,87.57895,178.52632,93.192986,130.24562,147.08772,79.7193,167.29825,169.54385,175.1579
064801.jpg,87.20879,87.20879,178.63736,91.42857,122.37363,149.0989,87.20879,167.38461,180.04396,173.01099
007447.jpg,87.30257,86.64616,177.23077,89.2718,128.0,147.0359,87.30257,166.72821,178.5436,171.32309
046174.jpg,86.88484,88.43636,183.07878,89.98788,130.32727,150.49696,86.88484,169.11514,179.97575,172.21817
074829.jpg,87.08196,87.08196,182.55737,89.18032,134.29507,156.32787,84.983604,168.91803,185.70491,168.91803
060695.jpg,87.03433,87.17608,163.72093,91.28682,130.12625,146.42746,95.11407,169.24918,150.25471,170.52492
014354.jpg,89.04347,89.04347,173.63478,82.36521,144.69565,124.660866,100.17391,171.40869,184.76521,162.50433
044815.jpg,88.49383,80.59259,161.18518,88.49383,132.74074,124.83951,88.49383,162.76543,151.7037,167.50618
116676.jpg,87.652176,89.04348,173.91304,91.82609,137.73914,147.47826,76.52174,171.13043,164.17392,173.91304
028462.jpg,87.20879,87.20879,173.01099,91.42857,132.21979,147.6923,81.58242,168.79121,170.1978,168.79121
033659.jpg,87.81395,87.81395,172.65117,96.74419,120.558136,145.86046,84.83721,169.67442,169.67442,174.13954
046064.jpg,86.97832,87.595184,170.8723,91.91325,128.92531,149.28194,92.53012,169.63857,164.70361,170.8723
087228.jpg,87.685036,87.685036,165.29134,93.732285,126.99213,153.19685,93.732285,169.32283,152.18898,171.33858
091330.jpg,87.77143,87.77143,175.54286,96.54857,127.26857,150.67429,80.457146,169.69142,171.15428,174.08
093676.jpg,88.13114,88.13114,169.96721,94.42622,123.80327,140.59015,90.2295,169.96721,172.06557,169.96721
077326.jpg,87.493675,87.493675,170.12659,89.92405,130.43039,128.0,91.544304,169.31647,170.9367,169.31647
094850.jpg,87.04,87.04,184.32,90.45334,134.82668,157.01334,87.04,168.96,186.02667,168.96
160680.jpg,88.22599,88.22599,175.00565,96.90395,128.72316,153.31073,80.994354,170.66667,172.11299,175.00565
052539.jpg,87.47739,87.47739,174.95477,99.055275,124.78392,151.799,79.7588,169.80904,167.23618,177.52763
057654.jpg,86.928345,87.72585,164.2866,99.68847,124.41121,149.13396,89.32087,169.86916,153.12149,177.04672
086587.jpg,86.98069,84.01544,169.0193,79.07336,123.552124,137.38995,99.83012,166.05405,173.96138,160.12355
125499.jpg,88.064,88.064,159.744,96.256004,120.83201,143.36,88.064,169.98401,149.50401,174.08
058569.jpg,87.77143,87.77143,177.98096,70.704765,148.72382,134.09525,104.8381,170.66667,192.60953,151.16191
064052.jpg,87.57895,87.57895,176.1203,88.54136,129.92482,151.09775,87.57895,169.38347,179.96992,168.42105
186641.jpg,87.20879,87.20879,170.1978,71.73627,139.25275,142.06593,87.20879,165.97803,178.63736,153.31868
198398.jpg,87.652176,89.04348,164.17392,96.0,116.86957,143.30435,86.26087,171.13043,146.08696,178.08696
192081.jpg,87.80676,87.80676,169.42995,70.49275,138.51207,138.51207,113.77778,166.95651,184.27052,152.11594
195269.jpg,87.20879,87.20879,167.38461,98.46154,126.59341,156.13187,67.51649,165.97803,154.72528,180.04396
193357.jpg,86.85715,88.38095,167.61905,83.809525,135.61905,149.33334,94.47619,167.61905,161.52382,166.09525
201989.jpg,87.44554,87.44554,174.89108,55.762375,147.0099,139.40594,116.594055,168.55446,207.84158,138.13861
183907.jpg,87.06599,88.36548,174.13197,90.96446,116.954315,148.14214,85.766495,166.33502,171.53299,172.83249
188310.jpg,86.97436,86.97436,162.46155,88.61539,128.0,141.1282,90.25641,165.74359,150.97437,170.66667
190636.jpg,87.80676,87.80676,160.77295,100.17391,117.48792,140.9855,79.14976,169.42995,140.9855,179.32367
194073.jpg,87.685036,87.685036,165.29134,79.62205,129.00787,140.09448,99.779526,165.29134,166.29921,161.25984
195802.jpg,87.3271,88.52336,171.06541,90.915886,126.803734,149.5327,78.95327,169.86916,168.6729,173.45793
188711.jpg,87.80676,87.80676,170.66667,103.884056,126.14493,157.0628,65.54589,168.19324,149.64252,185.50725
